City_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_Speed
2178753,Kirakira,100,SB,1583980340,81,-10.45,161.92,27.96,5.42
1489822,Tegul'det,100,RU,1583980340,92,57.31,88.17,-5.01,4.83
779350,Karasjok,75,NO,1583980340,85,69.47,25.51,-4,1
934479,Grand Gaube,40,MU,1583980340,100,-20.01,57.66,26.11,4.63
1185098,Gazipur,20,BD,1583980340,73,24,90.42,24,2.28
2988507,Paris,90,FR,1583980119,87,48.85,2.35,13,6.7
513898,Otradnoye,90,RU,1583980341,93,59.78,30.82,3,4
3372760,Praia da Vitória,75,PT,1583980341,82,38.73,-27.07,14,6.72
5905393,Bonavista,92,CA,1583980341,88,48.65,-53.11,-1.67,5.36
1788852,Xining,91,CN,1583980342,24,36.62,101.77,0.46,4.15
1495022,Petukhovo,100,RU,1583980342,94,55.07,67.9,0.45,6.52
1269805,Ikauna,0,IN,1583980342,51,27.55,81.97,22.96,4.34
3691954,Sechura,6,PE,1583980343,84,-5.56,-80.82,24.25,2.81
2363534,Tsévié,20,TG,1583980343,88,6.43,1.21,28,3.6
1280037,Shache,100,CN,1583980342,83,38.42,77.24,7.22,0.77
2218840,Bani Walid,0,LY,1583980343,86,31.76,13.99,9.26,3.34
1295765,Sittwe,0,MM,1583980343,50,20.15,92.9,24.79,1.63
5916706,Carberry,20,CA,1583980343,93,49.87,-99.36,0,3.1
3804949,Guasdualito,98,VE,1583980344,51,7.24,-70.73,30,3.1
3356832,Henties Bay,0,NA,1583980344,95,-22.12,14.28,16.67,0.89
3420846,Qaqortoq,38,GL,1583980344,44,60.72,-46.03,-6,2.1
1686123,Siocon,78,PH,1583980344,74,7.71,122.14,27.79,4.81
70979,Sayyan,16,YE,1583980345,50,15.17,44.32,5.71,0.2
1527121,Tyup,49,KG,1583980345,48,42.73,78.36,-2.43,0.19
2028462,Ulaanbaatar,40,MN,1583980183,77,47.91,106.88,-17,1
4032420,Neiafu,75,TO,1583980345,83,-18.65,-173.98,28,2.1
1736356,Tumpat,40,MY,1583980345,79,6.2,102.17,29,0.5
1267776,Kargil,100,IN,1583980346,93,34.57,76.1,-10.73,2
2206894,Hokitika,0,NZ,1583980229,75,-42.72,170.97,17.53,1.93
1605214,Uttaradit,9,TH,1583980346,51,17.67,100.5,33.33,2.63
3381538,Grand-Santi,8,GF,1583980347,75,4.25,-54.38,23.99,2.27
5856195,Honolulu,75,US,1583980347,61,21.31,-157.86,27,7.2
5520552,Dumas,1,US,1583980347,48,35.87,-101.97,18,6.2
3703946,Narganá,22,PA,1583980347,80,9.44,-78.59,26.54,7.2
1267390,Kavaratti,0,IN,1583980347,67,10.57,72.64,28.01,3.07
3984997,San Quintín,100,MX,1583980348,85,30.48,-115.95,17.62,1.04
3576994,Cockburn Town,100,TC,1583980348,77,21.46,-71.14,24.71,5.78
1503037,Kodinsk,100,RU,1583980324,91,58.69,99.18,-5.14,6.45
1178338,Gilgit,100,PK,1583980348,49,35.92,74.31,-6.83,0.81
364933,Umm Kaddadah,3,SD,1583980349,11,13.6,26.69,24.63,5.66
290030,Doha,1,QA,1583980049,93,25.29,51.53,17.78,0.5
87205,Darnah,0,LY,1583980349,73,32.77,22.64,14.56,9.38
2063042,Port Hedland,62,AU,1583980349,62,-20.32,118.57,32,5.7
1661950,Ban Nahin,68,LA,1583980350,55,18.24,104.21,31.11,3.54
